plan,stage,merge_group,task_name,model_key,tokens_in,tokens_out,monthly_cost
MIN,S1,S1_retrieve,Multilingual Indexing,openai/gpt-4o,200.0,80.0,42.24
MIN,S1,S1_retrieve,RAG Chunking,openai/gpt-4o,200.0,80.0,42.24
MIN,S4,S4_agentic,Calendar + Email Agent,anthropic/claude-3.5-sonnet,700.0,300.0,153.6
MIN,S4,S4_agentic,RAG + Action Agent,anthropic/claude-3.5-sonnet,700.0,300.0,153.6
MIN,S0,S0_translate,[MERGED x2],google/gemini-1.5-pro,850.0,850.0,326.4
MAX,S1,S1_retrieve,Multilingual Indexing,openai/gpt-4o,200.0,80.0,42.24
MAX,S1,S1_retrieve,RAG Chunking,openai/gpt-4o,200.0,80.0,42.24
MAX,S4,S4_agentic,Calendar + Email Agent,anthropic/claude-3.5-sonnet,700.0,300.0,153.6
MAX,S4,S4_agentic,RAG + Action Agent,anthropic/claude-3.5-sonnet,700.0,300.0,153.6
MAX,S0,S0_translate,Tone Adaptation,google/gemini-1.5-pro,500.0,500.0,192.0
MAX,S0,S0_translate,Language Detection + Route,google/gemini-1.5-pro,500.0,500.0,192.0
